,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"fc1_weight[15, 1]",-1.357,10.854,-20.564,15.252,4.884,3.681,5.0,29.0,2.22
"fc1_weight[15, 2]",0.092,0.792,-1.339,1.258,0.189,0.136,11.0,26.0,1.32
"fc1_weight[15, 3]",-5.943,7.398,-21.768,0.425,3.407,2.576,5.0,16.0,2.5
"fc1_weight[16, 0]",-4.418,12.602,-24.094,17.087,5.698,4.297,5.0,58.0,2.02
"fc1_weight[16, 1]",7.803,10.421,-13.475,28.455,4.486,3.361,5.0,11.0,2.09
"fc1_weight[16, 2]",1.049,4.581,-1.703,8.799,1.389,1.01,16.0,11.0,1.23
"fc1_weight[16, 3]",0.28,6.135,-15.074,7.731,2.295,1.694,7.0,29.0,1.66
"fc1_weight[17, 0]",-5.137,11.288,-28.459,13.64,5.223,3.952,5.0,30.0,2.34
"fc1_weight[17, 1]",-2.608,7.606,-14.663,12.569,3.242,2.426,7.0,35.0,1.58
"fc1_weight[17, 2]",3.388,7.156,-2.296,19.007,3.317,2.51,6.0,33.0,1.71
"fc1_weight[17, 3]",4.604,3.798,-0.449,12.046,1.396,1.029,7.0,35.0,1.6
"fc1_weight[18, 0]",12.431,10.853,-5.243,33.772,4.951,3.739,5.0,27.0,2.34
"fc1_weight[18, 1]",-5.043,7.985,-17.349,6.39,3.574,2.692,6.0,70.0,1.7
"fc1_weight[18, 2]",-2.296,4.74,-12.896,1.11,2.08,1.562,5.0,32.0,2.0
"fc1_weight[18, 3]",-1.54,3.564,-7.884,3.48,1.523,1.14,5.0,31.0,2.37
"fc1_weight[19, 0]",-2.879,7.44,-14.089,8.002,3.464,2.624,5.0,38.0,2.02
"fc1_weight[19, 1]",15.422,14.469,-9.954,34.548,6.982,5.318,5.0,32.0,2.26
"fc1_weight[19, 2]",1.347,1.719,-0.175,4.928,0.826,0.628,6.0,33.0,1.74
"fc1_weight[19, 3]",5.201,8.675,-1.433,22.669,4.214,3.213,5.0,28.0,2.08
"fc1_weight[20, 0]",2.506,6.573,-8.804,12.851,2.801,2.096,7.0,31.0,1.61
"fc1_weight[20, 1]",-7.19,11.5,-23.224,10.764,5.126,3.858,6.0,29.0,1.68
"fc1_weight[20, 2]",-2.101,4.728,-12.719,1.339,1.893,1.407,7.0,26.0,1.72
"fc1_weight[20, 3]",3.705,8.372,-8.927,21.139,3.373,2.508,6.0,27.0,2.24
"fc1_weight[21, 0]",3.218,7.761,-10.729,17.094,3.568,2.697,5.0,24.0,2.41
"fc1_weight[21, 1]",-5.923,14.631,-28.395,16.799,6.981,5.307,5.0,39.0,2.04
"fc1_weight[21, 2]",2.001,5.259,-3.12,13.821,2.274,1.705,5.0,33.0,2.63
"fc1_weight[21, 3]",-1.36,10.881,-25.084,16.638,5.075,3.844,5.0,31.0,2.54
"fc1_weight[22, 0]",-2.15,9.233,-18.986,12.159,4.367,3.316,5.0,23.0,2.47
"fc1_weight[22, 1]",-7.407,19.053,-33.449,27.283,9.237,7.041,5.0,29.0,2.22
"fc1_weight[22, 2]",-0.104,0.431,-0.921,0.652,0.175,0.13,6.0,21.0,1.76
"fc1_weight[22, 3]",-1.189,3.396,-7.549,3.682,1.617,1.229,5.0,27.0,2.63
"fc1_weight[23, 0]",4.081,12.927,-12.99,24.738,6.325,4.828,5.0,31.0,2.71
"fc1_weight[23, 1]",4.091,17.807,-21.939,32.336,8.704,6.644,5.0,17.0,2.79
"fc1_weight[23, 2]",0.343,0.548,-0.347,1.44,0.254,0.192,5.0,30.0,2.31
"fc1_weight[23, 3]",0.972,1.638,-1.453,4.048,0.767,0.581,5.0,22.0,2.75
"fc1_weight[24, 0]",0.008,15.608,-29.748,24.661,7.526,5.731,5.0,13.0,2.65
"fc1_weight[24, 1]",-2.408,15.857,-32.969,22.915,7.567,5.753,5.0,12.0,2.85
