,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"fc1_weight[27, 3]",2.17,3.049,-4.501,8.175,0.881,0.639,9.0,23.0,1.44
fc1_weight_precision,0.014,0.005,0.007,0.023,0.001,0.001,11.0,25.0,1.26
fc2_bias[0],-0.028,0.23,-0.451,0.28,0.108,0.082,5.0,30.0,2.14
fc2_bias_precision,20.613,13.835,1.022,45.166,1.671,1.187,59.0,1272.0,1.06
"fc2_weight[0, 0]",0.127,0.262,-0.293,0.542,0.128,0.097,5.0,20.0,2.81
"fc2_weight[0, 1]",0.044,0.219,-0.313,0.399,0.106,0.081,5.0,24.0,2.8
"fc2_weight[0, 2]",-0.199,0.238,-0.498,0.191,0.116,0.089,5.0,23.0,2.18
"fc2_weight[0, 3]",-0.205,0.317,-0.756,0.304,0.153,0.117,5.0,25.0,2.85
"fc2_weight[0, 4]",-0.082,0.48,-1.058,0.845,0.223,0.169,5.0,12.0,2.71
"fc2_weight[0, 5]",-0.065,0.442,-0.724,0.513,0.216,0.165,5.0,21.0,2.33
"fc2_weight[0, 6]",0.276,0.148,0.062,0.546,0.061,0.045,7.0,22.0,1.66
"fc2_weight[0, 7]",-0.003,0.42,-0.541,0.638,0.206,0.157,5.0,24.0,2.3
"fc2_weight[0, 8]",0.119,0.501,-0.727,0.892,0.244,0.187,5.0,22.0,2.75
"fc2_weight[0, 9]",0.178,0.385,-0.422,0.847,0.186,0.142,5.0,20.0,2.65
"fc2_weight[0, 10]",0.068,0.333,-0.413,0.722,0.159,0.121,5.0,23.0,2.42
"fc2_weight[0, 11]",0.191,0.428,-0.56,0.853,0.203,0.155,5.0,22.0,2.56
"fc2_weight[0, 12]",-0.089,0.341,-0.588,0.494,0.157,0.119,5.0,12.0,2.61
"fc2_weight[0, 13]",0.045,0.341,-0.46,0.665,0.163,0.124,5.0,27.0,2.41
"fc2_weight[0, 14]",-0.108,0.253,-0.34,0.391,0.124,0.095,6.0,17.0,1.78
"fc2_weight[0, 15]",-0.045,0.31,-0.616,0.332,0.15,0.114,5.0,20.0,2.47
"fc2_weight[0, 16]",-0.226,0.165,-0.548,-0.034,0.075,0.057,5.0,19.0,2.38
"fc2_weight[0, 17]",0.224,0.646,-0.57,1.361,0.312,0.238,5.0,27.0,2.15
"fc2_weight[0, 18]",-0.012,0.204,-0.358,0.291,0.097,0.073,5.0,24.0,2.38
"fc2_weight[0, 19]",-0.044,0.355,-0.409,0.681,0.173,0.132,6.0,23.0,1.92
"fc2_weight[0, 20]",-0.112,0.283,-0.522,0.354,0.137,0.104,5.0,26.0,2.47
"fc2_weight[0, 21]",-0.014,0.285,-0.448,0.442,0.133,0.101,5.0,26.0,2.81
"fc2_weight[0, 22]",0.35,0.882,-0.715,1.947,0.435,0.333,5.0,27.0,2.92
"fc2_weight[0, 23]",-0.021,0.245,-0.28,0.482,0.119,0.091,6.0,12.0,1.96
"fc2_weight[0, 24]",0.181,0.273,-0.342,0.518,0.132,0.101,5.0,25.0,2.28
"fc2_weight[0, 25]",-0.199,0.316,-0.638,0.366,0.15,0.114,5.0,28.0,2.11
"fc2_weight[0, 26]",0.249,0.362,-0.201,0.885,0.174,0.132,5.0,56.0,2.22
"fc2_weight[0, 27]",-0.086,0.398,-0.552,0.705,0.188,0.143,5.0,16.0,2.02
fc2_weight_precision,7.935,3.933,1.778,14.691,1.394,1.024,7.0,25.0,1.56
noise_precision,24.569,1.215,22.326,26.84,0.422,0.31,8.0,53.0,1.4
