Z,A,pairing,shell,Mexp,Mth_ws4,ws4_residuals
23,46,-1.0,1.5,-37.0759,-36.8256,-0.25029999999999575
24,46,1.0,1.3333333333333333,-29.4716,-29.3567,-0.11489999999999867
25,46,-1.0,0.75,-12.4177,-12.3381,-0.07959999999999923
18,47,0.0,0.6666666666666666,-25.3673,-24.5586,-0.8087000000000018
19,47,0.0,0.0,-35.712,-35.2937,-0.4183000000000021
20,47,0.0,0.0,-42.3447,-42.3318,-0.01290000000000191
21,47,0.0,0.6666666666666666,-44.3368,-44.5422,0.20540000000000447
22,47,0.0,1.2,-44.9376,-44.6104,-0.3272000000000048
23,47,0.0,1.7142857142857142,-42.0071,-41.9335,-0.073599999999999
24,47,0.0,1.7142857142857142,-34.5631,-34.6163,0.05320000000000391
25,47,0.0,1.2,-22.5664,-22.2601,-0.30630000000000024
18,48,1.0,1.0,-22.3549,-22.1331,-0.22180000000000177
19,48,-1.0,0.5,-32.2845,-31.739,-0.5455000000000005
20,48,1.0,0.0,-44.2249,-43.8176,-0.40729999999999933
21,48,-1.0,0.5,-44.5041,-44.3155,-0.188600000000001
22,48,1.0,1.0,-48.493,-48.3425,-0.15050000000000097
23,48,-1.0,1.5,-44.478,-43.6298,-0.8481999999999985
24,48,1.0,2.0,-42.8213,-43.0193,0.1980000000000004
25,48,-1.0,1.5,-29.2966,-28.5482,-0.7484000000000002
26,48,1.0,1.0,-18.0086,-17.7777,-0.23090000000000188
19,49,0.0,0.6666666666666666,-29.6115,-29.7001,0.08859999999999957
20,49,0.0,0.0,-41.3,-40.5968,-0.7031999999999954
21,49,0.0,0.0,-46.5624,-46.1528,-0.4095999999999975
22,49,0.0,0.6666666666666666,-48.564,-48.2928,-0.27120000000000033
23,49,0.0,1.2,-47.9622,-47.8361,-0.126100000000001
24,49,0.0,1.7142857142857142,-45.3324,-44.9292,-0.4031999999999982
25,49,0.0,1.7142857142857142,-37.6199,-37.3322,-0.28770000000000095
26,49,0.0,1.2,-24.7507,-24.6622,-0.0884999999999998
19,50,-1.0,0.75,-25.7279,-25.3555,-0.3724000000000025
20,50,1.0,0.0,-39.5892,-39.6759,0.08670000000000044
21,50,-1.0,0.5,-44.5371,-43.9864,-0.5506999999999991
22,50,1.0,0.0,-51.4319,-51.0463,-0.3855999999999966
23,50,-1.0,0.75,-49.2232,-48.702,-0.5212000000000003
24,50,1.0,1.3333333333333333,-50.2614,-50.1022,-0.15919999999999845
25,50,-1.0,1.5,-42.6269,-42.3095,-0.31739999999999924
26,50,1.0,1.3333333333333333,-34.4765,-34.4819,0.005400000000001626
19,51,0.0,0.8,-22.5155,-22.5022,-0.013300000000000978
20,51,0.0,0.0,-36.3323,-35.7279,-0.6043999999999983
21,51,0.0,0.6666666666666666,-43.2504,-43.4765,0.2261000000000024
22,51,0.0,0.6666666666666666,-49.733,-49.1853,-0.547699999999999
23,51,0.0,0.0,-52.2031,-51.7402,-0.46289999999999765
24,51,0.0,0.8,-51.4507,-51.2893,-0.16140000000000043
25,51,0.0,1.2,-48.2432,-47.8606,-0.3826000000000036
26,51,0.0,1.2,-40.1892,-39.9761,-0.21309999999999718
27,51,0.0,0.8,-27.3421,-27.2565,-0.08559999999999945
19,52,-1.0,0.8333333333333334,-17.1376,-16.5887,-0.5488999999999997
20,52,1.0,0.0,-34.2663,-34.0852,-0.1811000000000007
21,52,-1.0,0.75,-40.5236,-40.4549,-0.06869999999999976
22,52,1.0,1.0,-49.4777,-49.727,0.24929999999999808
23,52,-1.0,0.75,-51.443,-50.8986,-0.544399999999996
24,52,1.0,0.0,-55.4195,-55.261,-0.15849999999999653
25,52,-1.0,0.75,-50.7114,-49.9871,-0.7242999999999995
26,52,1.0,1.0,-48.3321,-48.4396,0.1075000000000017
27,52,-1.0,0.75,-34.344,-33.7652,-0.5788000000000011
28,52,1.0,0.0,-22.5599,-22.5496,-0.010299999999997311
20,53,0.0,0.0,-29.3877,-28.5231,-0.8645999999999994
21,53,0.0,0.8,-38.7696,-39.0803,0.3107000000000042
22,53,0.0,1.2,-46.8814,-46.8803,-0.001100000000000989
23,53,0.0,1.2,-51.8517,-51.9094,0.057699999999996976
24,53,0.0,0.8,-55.2876,-54.7599,-0.5276999999999958
25,53,0.0,0.0,-54.6904,-54.4293,-0.261099999999999
26,53,0.0,0.6666666666666666,-50.9475,-50.8885,-0.0589999999999975
27,53,0.0,0.6666666666666666,-42.6594,-42.7068,0.04740000000000322
28,53,0.0,0.0,-29.6308,-29.5635,-0.06729999999999947
20,54,1.0,0.0,-25.1606,-24.8711,-0.2895000000000003
21,54,-1.0,0.8333333333333334,-34.4379,-34.4819,0.044000000000004036
22,54,1.0,1.3333333333333333,-45.7438,-46.4364,0.6925999999999988
23,54,-1.0,1.5,-49.8983,-49.9169,0.018599999999999284
24,54,1.0,1.3333333333333333,-56.9354,-56.7885,-0.14690000000000225
25,54,-1.0,0.75,-55.5582,-54.8669,-0.6912999999999982
26,54,1.0,0.0,-56.2546,-56.2985,0.04389999999999361
27,54,-1.0,0.5,-48.0101,-47.9824,-0.027700000000002944
28,54,1.0,0.0,-39.2783,-39.5381,0.2597999999999985
21,55,0.0,0.8571428571428571,-30.8421,-31.2019,0.3597999999999999
22,55,0.0,1.4285714285714286,-41.8325,-42.0799,0.24739999999999895
23,55,0.0,1.7142857142857142,-49.1251,-49.7615,0.6363999999999947
24,55,0.0,1.7142857142857142,-55.1103,-55.0183,-0.09199999999999875
25,55,0.0,1.2,-57.7125,-57.3086,-0.40390000000000015
26,55,0.0,0.6666666666666666,-57.4814,-57.0622,-0.41920000000000357
27,55,0.0,0.0,-54.03,-53.899,-0.13100000000000023
28,55,0.0,0.0,-45.336,-45.4473,0.11129999999999995
24,56,1.0,2.0,-55.2851,-55.8152,0.5300999999999974
25,56,-1.0,1.5,-56.9117,-56.4702,-0.4415000000000049
26,56,1.0,1.0,-60.6072,-60.4243,-0.1828999999999965
27,56,-1.0,0.5,-56.0405,-55.4855,-0.5549999999999997
28,56,1.0,0.0,-53.9076,-54.0152,0.10759999999999792
29,56,-1.0,0.5,-38.6297,-38.1106,-0.5191000000000017
23,57,0.0,2.0,-44.4351,-45.0208,0.5857000000000028
24,57,0.0,2.2222222222222223,-52.525,-52.9884,0.46340000000000003
25,57,0.0,1.7142857142857142,-57.4863,-57.6541,0.16779999999999973
26,57,0.0,1.2,-60.182,-59.9026,-0.27940000000000254
27,57,0.0,0.6666666666666666,-59.3457,-59.2311,-0.11460000000000292
28,57,0.0,0.0,-56.084,-55.8604,-0.22360000000000468
29,57,0.0,0.0,-47.309,-47.0988,-0.2102000000000004
23,58,-1.0,2.1,-40.4306,-40.6807,0.2501000000000033
24,58,1.0,2.4,-51.9918,-52.5989,0.6071000000000026
25,58,-1.0,1.875,-55.8276,-55.8344,0.006800000000005468
26,58,1.0,1.3333333333333333,-62.1553,-62.0733,-0.08199999999999363
27,58,-1.0,0.75,-59.8473,-59.6731,-0.17419999999999902
28,58,1.0,0.0,-60.2289,-60.4597,0.230799999999995
29,58,-1.0,0.5,-51.6679,-51.4312,-0.23670000000000613
30,58,1.0,0.0,-42.2989,-42.5456,0.24669999999999703
24,59,0.0,2.5454545454545454,-48.1159,-48.6397,0.5237999999999943
25,59,0.0,2.0,-55.5253,-55.8846,0.3592999999999975
26,59,0.0,1.4285714285714286,-60.665,-60.5468,-0.11820000000000164
27,59,0.0,0.8,-62.2298,-62.3146,0.08480000000000132
28,59,0.0,0.0,-61.1568,-61.3223,0.16550000000000153
29,59,0.0,0.6666666666666666,-56.3585,-56.3901,0.03159999999999741
30,59,0.0,0.6666666666666666,-47.2157,-47.3677,0.15200000000000102
24,60,1.0,2.6666666666666665,-46.9085,-47.0063,0.09780000000000655
25,60,-1.0,2.1,-52.9679,-52.9884,0.02049999999999841
26,60,1.0,1.5,-61.4132,-61.6108,0.19759999999999422
27,60,-1.0,0.8333333333333334,-61.6504,-61.6364,-0.013999999999995794
28,60,1.0,0.0,-64.4732,-64.9009,0.4276999999999873
29,60,-1.0,0.75,-58.3453,-58.0292,-0.3160999999999987
