,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
fc1_bias[32],18.434,9.877,6.039,34.708,2.811,2.409,11.0,12.0,1.29
fc1_bias[33],-9.954,38.993,-83.366,32.95,18.605,14.144,5.0,19.0,2.2
fc1_bias[34],-8.133,15.475,-32.776,23.51,6.073,4.504,7.0,25.0,1.61
fc1_bias[35],2.92,20.613,-39.086,30.304,9.004,6.759,5.0,17.0,2.07
fc1_bias[36],-1.01,11.196,-12.479,22.591,3.724,2.723,11.0,21.0,1.48
fc1_bias[37],-3.726,12.18,-18.137,18.544,5.059,3.775,7.0,58.0,1.69
fc1_bias[38],-21.757,18.842,-53.571,5.163,7.915,5.913,7.0,25.0,1.64
fc1_bias[39],23.994,21.532,-8.119,69.67,9.746,7.365,5.0,16.0,2.26
fc1_bias[40],-13.968,13.762,-42.359,4.686,6.398,4.844,6.0,29.0,2.14
fc1_bias[41],4.833,13.207,-8.569,35.29,5.963,4.496,5.0,21.0,2.11
fc1_bias_precision,0.004,0.004,0.001,0.009,0.001,0.001,6.0,12.0,1.93
"fc1_weight[0, 0]",0.052,0.736,-1.249,1.027,0.318,0.239,6.0,38.0,1.89
"fc1_weight[0, 1]",-0.152,0.378,-0.708,0.557,0.132,0.097,9.0,29.0,1.65
"fc1_weight[1, 0]",-0.223,0.893,-1.874,0.874,0.406,0.306,6.0,21.0,1.77
"fc1_weight[1, 1]",0.325,0.423,-0.058,1.286,0.127,0.092,9.0,74.0,1.37
"fc1_weight[2, 0]",-0.068,0.542,-0.883,0.717,0.222,0.165,7.0,14.0,1.62
"fc1_weight[2, 1]",0.543,0.71,0.042,2.132,0.328,0.255,6.0,12.0,1.93
"fc1_weight[3, 0]",-0.324,0.619,-1.389,0.701,0.227,0.167,8.0,37.0,1.5
"fc1_weight[3, 1]",-0.046,0.587,-1.061,0.78,0.237,0.176,7.0,29.0,1.69
"fc1_weight[4, 0]",0.164,0.529,-0.689,1.299,0.154,0.112,12.0,94.0,1.27
"fc1_weight[4, 1]",-0.106,0.831,-1.552,1.178,0.373,0.281,6.0,27.0,1.73
"fc1_weight[5, 0]",-0.098,0.418,-0.704,0.829,0.088,0.063,24.0,39.0,1.4
"fc1_weight[5, 1]",0.029,0.593,-1.331,0.836,0.263,0.198,6.0,11.0,1.78
"fc1_weight[6, 0]",-0.246,0.801,-1.444,1.18,0.312,0.231,8.0,33.0,1.43
"fc1_weight[6, 1]",0.122,0.51,-0.751,0.775,0.184,0.136,7.0,33.0,1.58
"fc1_weight[7, 0]",-0.112,0.682,-1.175,0.837,0.305,0.229,6.0,16.0,1.91
"fc1_weight[7, 1]",0.133,0.557,-0.755,1.232,0.233,0.174,5.0,17.0,2.0
"fc1_weight[8, 0]",0.227,0.982,-1.563,1.547,0.43,0.323,5.0,25.0,2.06
"fc1_weight[8, 1]",0.029,0.587,-0.78,0.963,0.278,0.211,5.0,15.0,2.73
"fc1_weight[9, 0]",0.055,0.548,-0.953,1.093,0.194,0.143,8.0,18.0,1.51
"fc1_weight[9, 1]",0.07,0.732,-1.405,0.983,0.334,0.252,5.0,20.0,2.2
"fc1_weight[10, 0]",-0.094,0.467,-1.086,0.621,0.184,0.137,7.0,35.0,1.66
"fc1_weight[10, 1]",0.275,0.293,-0.116,0.823,0.085,0.061,12.0,45.0,1.4
"fc1_weight[11, 0]",0.661,0.995,-0.676,2.541,0.42,0.336,7.0,26.0,1.52
"fc1_weight[11, 1]",0.111,0.67,-0.881,1.332,0.271,0.201,7.0,40.0,1.57
"fc1_weight[12, 0]",-0.305,0.657,-1.226,1.021,0.211,0.154,11.0,47.0,1.44
"fc1_weight[12, 1]",-0.337,0.735,-1.645,0.88,0.324,0.243,6.0,33.0,1.95
"fc1_weight[13, 0]",0.365,0.734,-0.828,1.71,0.281,0.208,7.0,23.0,1.55
"fc1_weight[13, 1]",0.058,0.498,-0.879,1.043,0.13,0.094,11.0,29.0,1.36
"fc1_weight[14, 0]",-0.119,0.577,-1.349,0.954,0.083,0.06,47.0,60.0,1.35
"fc1_weight[14, 1]",-0.039,0.653,-1.167,1.256,0.242,0.179,7.0,27.0,1.56
"fc1_weight[15, 0]",0.357,0.683,-0.893,1.682,0.247,0.181,8.0,25.0,1.49
"fc1_weight[15, 1]",-0.209,0.608,-1.356,0.758,0.242,0.179,7.0,50.0,1.63
"fc1_weight[16, 0]",0.195,0.548,-0.821,1.177,0.155,0.112,12.0,19.0,1.27
"fc1_weight[16, 1]",-0.015,0.472,-0.977,0.762,0.19,0.141,7.0,25.0,1.58
"fc1_weight[17, 0]",0.184,0.817,-1.177,1.181,0.356,0.267,7.0,41.0,1.88
"fc1_weight[17, 1]",0.038,0.27,-0.296,0.696,0.081,0.059,13.0,25.0,1.52
"fc1_weight[18, 0]",-0.021,0.964,-1.471,1.55,0.444,0.336,5.0,29.0,2.01
"fc1_weight[18, 1]",-0.42,0.484,-1.4,0.277,0.2,0.149,6.0,19.0,1.77
"fc1_weight[19, 0]",-0.471,0.504,-1.254,0.462,0.193,0.159,7.0,24.0,1.59
"fc1_weight[19, 1]",-0.007,0.63,-1.556,0.677,0.296,0.225,5.0,13.0,2.51
"fc1_weight[20, 0]",0.239,0.442,-0.625,0.959,0.151,0.111,8.0,81.0,1.45
"fc1_weight[20, 1]",0.103,0.492,-0.928,0.83,0.207,0.155,5.0,19.0,2.05
"fc1_weight[21, 0]",0.402,0.695,-0.67,1.596,0.297,0.223,6.0,23.0,1.85
"fc1_weight[21, 1]",-0.045,0.605,-1.007,1.512,0.256,0.192,6.0,14.0,1.89
"fc1_weight[22, 0]",0.485,0.502,-0.573,1.288,0.11,0.079,19.0,76.0,1.5
"fc1_weight[22, 1]",-0.103,0.66,-1.227,1.065,0.285,0.214,5.0,17.0,2.07
"fc1_weight[23, 0]",-0.146,0.588,-1.255,1.186,0.104,0.074,29.0,42.0,1.18
"fc1_weight[23, 1]",0.417,0.546,-0.584,1.286,0.172,0.129,11.0,45.0,1.41
"fc1_weight[24, 0]",-0.251,0.586,-1.316,0.803,0.214,0.157,8.0,47.0,1.48
"fc1_weight[24, 1]",0.207,0.479,-0.746,0.84,0.197,0.147,6.0,29.0,1.7
"fc1_weight[25, 0]",0.285,0.558,-0.796,1.274,0.176,0.128,11.0,71.0,1.44
"fc1_weight[25, 1]",-0.137,0.62,-1.212,1.146,0.272,0.205,5.0,12.0,2.05
"fc1_weight[26, 0]",0.154,0.783,-1.246,1.548,0.276,0.203,9.0,34.0,1.43
"fc1_weight[26, 1]",0.031,0.463,-0.646,1.026,0.137,0.1,10.0,51.0,1.46
"fc1_weight[27, 0]",0.182,0.874,-1.003,1.49,0.386,0.29,6.0,55.0,1.76
"fc1_weight[27, 1]",-0.072,0.524,-0.883,0.601,0.231,0.174,5.0,19.0,1.99
"fc1_weight[28, 0]",0.095,1.127,-1.401,2.023,0.545,0.415,5.0,26.0,2.44
"fc1_weight[28, 1]",-0.47,0.552,-1.166,0.475,0.258,0.196,5.0,28.0,2.17
"fc1_weight[29, 0]",0.164,1.239,-1.741,2.027,0.582,0.441,5.0,27.0,2.42
"fc1_weight[29, 1]",-0.076,0.613,-0.918,1.065,0.265,0.199,7.0,46.0,1.59
"fc1_weight[30, 0]",-0.184,0.633,-1.343,1.029,0.263,0.196,6.0,19.0,1.82
