,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"fc1_weight[19, 0]",6.548,6.168,-3.734,18.156,2.245,1.653,8.0,29.0,1.46
"fc1_weight[19, 1]",3.328,12.701,-21.204,22.126,6.053,4.601,5.0,29.0,2.24
"fc1_weight[19, 2]",-0.376,2.997,-5.945,5.044,1.365,1.031,5.0,24.0,2.59
"fc1_weight[19, 3]",0.889,5.089,-7.961,11.893,2.335,1.765,5.0,23.0,2.54
"fc1_weight[20, 0]",-7.577,10.413,-20.98,13.25,4.89,3.708,6.0,32.0,1.76
"fc1_weight[20, 1]",-5.744,7.353,-16.165,6.388,3.231,2.427,7.0,41.0,1.63
"fc1_weight[20, 2]",-0.452,1.139,-3.187,0.905,0.339,0.246,13.0,36.0,1.3
"fc1_weight[20, 3]",-1.299,2.718,-6.724,2.613,1.256,0.951,5.0,30.0,2.75
"fc1_weight[21, 0]",-2.343,9.377,-15.606,14.349,4.318,3.265,5.0,27.0,1.98
"fc1_weight[21, 1]",-0.648,14.853,-23.532,26.204,6.575,4.945,6.0,29.0,1.66
"fc1_weight[21, 2]",-0.761,2.166,-5.013,1.007,0.582,0.421,6.0,32.0,1.7
"fc1_weight[21, 3]",0.263,1.753,-1.071,1.862,0.385,0.276,8.0,20.0,1.58
"fc1_weight[22, 0]",-1.462,11.668,-20.561,16.818,5.431,4.113,5.0,22.0,2.06
"fc1_weight[22, 1]",0.71,7.978,-13.701,14.114,3.585,2.701,5.0,37.0,2.11
"fc1_weight[22, 2]",-0.395,1.009,-2.724,0.692,0.282,0.204,13.0,120.0,1.22
"fc1_weight[22, 3]",1.294,2.312,-2.74,6.274,0.959,0.715,5.0,32.0,1.96
"fc1_weight[23, 0]",-1.893,13.001,-25.941,14.461,6.347,4.843,5.0,31.0,2.53
"fc1_weight[23, 1]",-8.402,11.943,-22.486,13.786,5.709,4.342,7.0,30.0,1.64
"fc1_weight[23, 2]",-0.077,0.375,-0.665,0.733,0.129,0.095,9.0,32.0,1.38
"fc1_weight[23, 3]",-1.724,2.854,-7.536,0.874,1.322,1.0,5.0,30.0,2.55
"fc1_weight[24, 0]",0.704,7.81,-10.74,15.566,3.594,2.717,5.0,25.0,2.09
"fc1_weight[24, 1]",6.132,10.855,-13.462,20.72,5.174,3.933,5.0,27.0,2.24
"fc1_weight[24, 2]",-1.074,3.49,-8.537,3.52,1.677,1.276,5.0,29.0,2.35
"fc1_weight[24, 3]",1.037,10.862,-16.89,21.74,5.224,3.976,5.0,28.0,2.84
"fc1_weight[25, 0]",-0.453,11.086,-13.617,21.081,5.382,4.103,5.0,27.0,2.15
"fc1_weight[25, 1]",7.618,20.83,-20.69,36.991,10.202,7.789,5.0,30.0,2.25
"fc1_weight[25, 2]",0.287,0.326,-0.277,0.905,0.129,0.095,6.0,43.0,1.66
"fc1_weight[25, 3]",-2.554,4.377,-11.044,0.593,2.15,1.643,5.0,28.0,2.35
"fc1_weight[26, 0]",-6.215,7.756,-20.094,8.21,3.366,2.525,5.0,22.0,1.95
"fc1_weight[26, 1]",1.551,14.603,-22.456,28.094,6.915,5.251,5.0,25.0,2.56
"fc1_weight[26, 2]",1.807,3.184,-1.18,7.814,1.239,0.918,8.0,38.0,1.61
"fc1_weight[26, 3]",3.494,6.288,-1.415,16.872,2.837,2.139,5.0,30.0,2.23
"fc1_weight[27, 0]",0.816,8.466,-13.873,13.529,3.893,2.943,5.0,28.0,2.12
"fc1_weight[27, 1]",-3.952,14.992,-22.811,22.68,7.183,5.464,5.0,28.0,2.18
"fc1_weight[27, 2]",-1.653,4.185,-11.011,4.518,1.513,1.114,8.0,13.0,2.19
"fc1_weight[27, 3]",0.3,5.186,-12.592,8.076,1.196,0.997,11.0,15.0,1.94
fc1_weight_precision,0.015,0.005,0.007,0.025,0.002,0.001,9.0,37.0,1.37
fc2_bias[0],-0.123,0.369,-0.831,0.525,0.142,0.105,6.0,29.0,1.68
fc2_bias_precision,1.409,1.158,0.006,3.502,0.014,0.01,4734.0,4129.0,1.0
"fc2_weight[0, 0]",0.419,0.24,0.072,0.819,0.112,0.085,5.0,19.0,2.49
"fc2_weight[0, 1]",0.353,0.076,0.222,0.496,0.023,0.017,11.0,46.0,1.26
"fc2_weight[0, 2]",0.707,0.527,0.165,1.751,0.255,0.195,5.0,21.0,2.39
"fc2_weight[0, 3]",-0.001,0.536,-0.824,0.817,0.259,0.198,5.0,15.0,2.13
"fc2_weight[0, 4]",0.57,0.262,0.241,1.134,0.096,0.071,8.0,20.0,1.45
"fc2_weight[0, 5]",0.143,0.376,-0.579,0.598,0.183,0.14,5.0,16.0,2.19
"fc2_weight[0, 6]",-0.491,0.268,-1.04,-0.176,0.124,0.094,5.0,29.0,2.22
"fc2_weight[0, 7]",0.14,0.512,-0.775,0.979,0.24,0.182,5.0,16.0,2.45
"fc2_weight[0, 8]",0.424,0.261,0.087,0.918,0.118,0.089,5.0,23.0,2.4
"fc2_weight[0, 9]",-0.296,0.385,-1.026,0.247,0.183,0.139,5.0,18.0,2.74
"fc2_weight[0, 10]",-0.225,0.164,-0.565,-0.067,0.073,0.055,7.0,21.0,1.59
"fc2_weight[0, 11]",0.067,0.289,-0.365,0.492,0.139,0.106,5.0,27.0,2.16
"fc2_weight[0, 12]",-0.131,0.266,-0.519,0.333,0.131,0.1,5.0,13.0,3.01
"fc2_weight[0, 13]",-0.166,0.374,-0.595,0.566,0.183,0.14,5.0,21.0,2.22
"fc2_weight[0, 14]",0.415,0.746,-0.876,1.529,0.364,0.277,5.0,28.0,2.53
"fc2_weight[0, 15]",0.405,0.206,0.134,0.741,0.092,0.069,6.0,63.0,1.76
"fc2_weight[0, 16]",-0.122,0.419,-0.759,0.415,0.199,0.152,6.0,26.0,1.9
"fc2_weight[0, 17]",0.377,0.776,-0.694,1.556,0.378,0.289,5.0,14.0,2.54
"fc2_weight[0, 18]",-0.035,0.221,-0.383,0.256,0.107,0.082,5.0,31.0,2.13
"fc2_weight[0, 19]",-0.099,0.307,-0.566,0.464,0.146,0.111,5.0,28.0,2.11
"fc2_weight[0, 20]",-0.161,0.291,-0.621,0.335,0.142,0.108,5.0,29.0,2.55
"fc2_weight[0, 21]",0.147,0.505,-0.828,0.898,0.206,0.153,8.0,19.0,1.8
"fc2_weight[0, 22]",-0.018,0.485,-0.68,0.919,0.234,0.178,5.0,17.0,2.33
"fc2_weight[0, 23]",-0.224,0.514,-0.833,0.811,0.249,0.189,6.0,29.0,1.74
"fc2_weight[0, 24]",0.004,0.726,-0.982,1.38,0.356,0.272,5.0,21.0,2.88
"fc2_weight[0, 25]",-0.226,0.607,-1.129,0.957,0.295,0.224,5.0,19.0,2.7
"fc2_weight[0, 26]",0.169,0.368,-0.509,0.716,0.167,0.126,5.0,17.0,2.26
"fc2_weight[0, 27]",-0.091,0.37,-0.547,0.455,0.174,0.132,6.0,44.0,1.84
fc2_weight_precision,3.262,1.116,1.325,5.339,0.242,0.174,19.0,95.0,1.14
noise_precision,24.313,1.244,22.094,26.593,0.449,0.33,8.0,91.0,1.43
